date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi,year,month,month_name,day,season,aqi_category
2022-09-29,31.96666666666667,22.308333333333334,607.7083333333334,15.058333333333332,4.425,38.04166666666666,0.1845833333333333,0.0,1.0604166666666666,77.20833333333333,57.54166666666666,2022,9,September,Thursday,Rainy / Wet,Moderate
2022-09-30,27.05,18.829166666666666,522.875,13.683333333333332,4.325,43.0,0.16625,0.0,1.4354166666666668,66.375,39.958333333333336,2022,9,September,Friday,Rainy / Wet,Moderate
2022-10-01,37.454166666666666,26.0375,667.125,17.891666666666666,5.075,40.29166666666666,0.20375,0.0,1.225,74.20833333333333,53.083333333333336,2022,10,October,Saturday,Rainy / Wet,Moderate
2022-10-02,27.933333333333334,19.39166666666667,547.0833333333334,13.8375,3.8958333333333335,39.04166666666666,0.1920833333333333,0.0,1.4958333333333331,74.95833333333333,53.458333333333336,2022,10,October,Sunday,Rainy / Wet,Moderate
2022-10-03,35.5125,24.4875,621.3333333333334,18.266666666666666,5.9,40.458333333333336,0.2775,0.875,1.45,70.16666666666667,46.25,2022,10,October,Monday,Rainy / Wet,Moderate
2022-10-04,27.379166666666663,18.4625,474.125,12.941666666666668,3.8125,42.875,0.3233333333333333,1.8333333333333333,1.18125,69.125,44.29166666666666,2022,10,October,Tuesday,Rainy / Wet,Moderate
2022-10-05,30.9375,20.679166666666667,484.75,12.275,4.520833333333333,51.875,0.38125,3.875,1.0291666666666666,66.20833333333333,39.625,2022,10,October,Wednesday,Rainy / Wet,Moderate
2022-10-06,21.175,14.6625,431.4583333333333,10.908333333333331,3.5125,54.333333333333336,0.16625,0.75,1.0729166666666667,59.833333333333336,33.916666666666664,2022,10,October,Thursday,Rainy / Wet,Moderate
2022-10-07,28.929166666666664,20.1125,528.9166666666666,13.608333333333334,3.775,38.75,0.1399999999999999,0.0,0.9333333333333332,59.16666666666666,32.5,2022,10,October,Friday,Rainy / Wet,Moderate
2022-10-08,40.516666666666666,28.258333333333336,762.125,18.70833333333333,5.329166666666667,43.41666666666666,0.2029166666666666,0.125,1.1354166666666667,83.5,60.833333333333336,2022,10,October,Saturday,Rainy / Wet,Moderate
2022-10-09,37.07083333333333,25.8625,698.5,15.3375,4.716666666666667,55.083333333333336,0.21125,0.0,1.3270833333333334,81.83333333333333,61.625,2022,10,October,Sunday,Rainy / Wet,Moderate
2022-10-10,44.30833333333334,30.616666666666664,715.9583333333334,20.254166666666663,4.6125,36.833333333333336,0.2158333333333333,0.0416666666666666,1.0583333333333331,83.45833333333333,62.16666666666666,2022,10,October,Monday,Rainy / Wet,Moderate
2022-10-11,47.64166666666667,31.554166666666664,736.875,22.508333333333336,4.0875,38.91666666666666,0.4695833333333333,7.291666666666667,0.5499999999999999,93.91666666666669,66.04166666666667,2022,10,October,Tuesday,Rainy / Wet,Moderate
2022-10-12,32.375,21.133333333333333,563.1666666666666,11.354166666666666,3.65,70.08333333333333,0.34125,6.5,1.2229166666666669,74.375,51.04166666666666,2022,10,October,Wednesday,Rainy / Wet,Moderate
2022-10-13,30.65,21.066666666666663,514.375,12.595833333333331,7.6875,55.958333333333336,0.1979166666666666,0.8333333333333334,1.2125,69.625,45.04166666666666,2022,10,October,Thursday,Rainy / Wet,Moderate
2022-10-14,28.46666666666667,19.8125,433.7083333333333,6.7250000000000005,5.525,53.708333333333336,0.23375,0.25,1.0270833333333331,68.79166666666667,43.41666666666666,2022,10,October,Friday,Rainy / Wet,Moderate
2022-10-15,32.454166666666666,22.641666666666666,490.9166666666667,9.008333333333333,7.066666666666666,50.25,0.2625,0.375,0.9125,67.375,41.5,2022,10,October,Saturday,Rainy / Wet,Moderate
2022-10-16,34.5125,23.5,512.0,6.845833333333334,8.566666666666666,84.08333333333333,0.3070833333333333,3.208333333333333,1.1770833333333333,74.125,53.833333333333336,2022,10,October,Sunday,Rainy / Wet,Moderate
2022-10-17,38.24166666666667,26.15,499.5,8.379166666666666,7.8875,60.66666666666666,0.2875,1.6666666666666667,1.31875,81.375,60.625,2022,10,October,Monday,Rainy / Wet,Moderate
2022-10-18,36.016666666666666,24.53333333333333,511.9583333333333,10.154166666666669,8.545833333333333,53.54166666666666,0.3341666666666666,2.75,0.7770833333333332,75.20833333333333,54.5,2022,10,October,Tuesday,Rainy / Wet,Moderate
2022-10-19,33.825,22.245833333333334,463.4583333333333,8.654166666666667,7.620833333333334,54.04166666666666,0.3475,6.541666666666667,0.6916666666666668,72.41666666666667,50.16666666666666,2022,10,October,Wednesday,Rainy / Wet,Moderate
2022-10-20,37.4375,24.59166666666667,511.3333333333333,7.370833333333334,5.304166666666666,68.5,0.4375,7.083333333333333,1.1583333333333334,76.125,56.79166666666666,2022,10,October,Thursday,Rainy / Wet,Moderate
2022-10-21,35.045833333333334,23.95,437.2916666666667,6.3875,5.954166666666667,62.083333333333336,0.245,2.0416666666666665,1.4395833333333332,81.58333333333333,61.25,2022,10,October,Friday,Rainy / Wet,Moderate
2022-10-22,36.9625,25.2875,444.4583333333333,7.416666666666667,7.883333333333333,56.0,0.2516666666666666,0.7916666666666666,0.98125,74.625,54.333333333333336,2022,10,October,Saturday,Rainy / Wet,Moderate
2022-10-23,31.85,21.766666666666666,452.25,7.9375,6.966666666666666,62.29166666666666,0.285,2.708333333333333,1.0791666666666666,69.54166666666667,45.125,2022,10,October,Sunday,Rainy / Wet,Moderate
2022-10-24,51.075,35.49166666666667,693.4166666666666,9.091666666666669,8.7875,67.16666666666667,0.2966666666666667,1.25,1.1833333333333331,98.95833333333331,67.04166666666667,2022,10,October,Monday,Rainy / Wet,Moderate
2022-10-25,30.9125,21.375,527.4166666666666,11.829166666666666,4.4625,46.958333333333336,0.2474999999999999,0.5833333333333334,0.8375,73.54166666666667,47.75,2022,10,October,Tuesday,Rainy / Wet,Moderate
2022-10-26,64.79583333333333,43.85,1033.625,23.675,6.8875,51.0,0.3841666666666667,4.041666666666667,1.2541666666666669,100.41666666666669,67.08333333333333,2022,10,October,Wednesday,Rainy / Wet,Unhealthy for Sensitive Groups
2022-10-27,65.85833333333333,42.675,909.9166666666666,21.35833333333333,4.9875,60.41666666666666,0.57375,15.083333333333334,0.6625,127.625,77.20833333333333,2022,10,October,Thursday,Rainy / Wet,Unhealthy for Sensitive Groups
2022-10-28,41.94583333333333,25.54583333333333,530.6666666666666,12.145833333333334,4.133333333333334,63.75,0.5491666666666667,16.208333333333332,1.05625,84.33333333333333,61.16666666666666,2022,10,October,Friday,Rainy / Wet,Moderate
2022-10-29,38.30833333333333,25.120833333333334,579.4583333333334,14.008333333333333,4.629166666666666,69.0,0.4120833333333333,8.666666666666666,1.60625,78.41666666666667,59.875,2022,10,October,Saturday,Rainy / Wet,Moderate
2022-10-30,49.025,31.6125,648.75,15.045833333333334,5.283333333333333,70.58333333333333,0.4475,12.666666666666666,1.6125,88.875,64.20833333333333,2022,10,October,Sunday,Rainy / Wet,Moderate
2022-10-31,41.825,27.641666666666666,493.125,7.895833333333333,7.783333333333334,69.20833333333333,0.3883333333333333,6.416666666666667,0.9854166666666666,83.54166666666667,62.25,2022,10,October,Monday,Rainy / Wet,Moderate
2022-11-01,50.5625,33.041666666666664,509.2083333333333,8.158333333333333,8.379166666666666,61.75,0.4983333333333333,9.791666666666666,1.2270833333333333,94.16666666666669,66.25,2022,11,November,Tuesday,Harmattan / Dry,Moderate
2022-11-02,36.704166666666666,23.5,436.25,6.525,5.783333333333334,69.16666666666667,0.545,9.666666666666666,0.9083333333333332,79.58333333333333,57.66666666666666,2022,11,November,Wednesday,Harmattan / Dry,Moderate
2022-11-03,45.68333333333334,29.0125,513.625,7.854166666666667,7.870833333333334,68.79166666666667,0.5245833333333333,13.291666666666666,0.9958333333333332,78.20833333333333,59.41666666666666,2022,11,November,Thursday,Harmattan / Dry,Moderate
2022-11-04,52.17916666666667,33.416666666666664,523.5833333333334,7.879166666666666,8.0375,71.04166666666667,0.5191666666666667,14.083333333333334,0.9270833333333334,95.16666666666669,66.5,2022,11,November,Friday,Harmattan / Dry,Moderate
